in_id,brief_description,opened_at,closed_at,action,resolution,ai_l4,ai_l4_confidence,ai_l4_resolution_action,ai_l4_actionable,ai_l4_actionability_reason,ai_l4_rationale,category,subcategory,product,confidence_score,rationale,keywords_identified,self_resolved,root_cause_indicator
INC48741977,No Help Desk support needed: self-resolved,2026-03-03 18:32:24,2026-03-03 18:32:26,ANI 3073681788/ mem id C15173506/ no sound came through due to system issue maybe/ ANI 7472123741/ mem id C37306469/ cannot hear caller mid call/ ANI 2065934914/ mem id 1295706851/ no sound came through due to system issue maybe,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48729103,No Help Desk support needed: self-resolved,2026-03-03 10:40:54,2026-03-03 10:40:57,internet outage/no power,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Marked as self-resolved with no help desk involvement needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48696045,No Help Desk support needed: self-resolved,2026-03-02 07:21:01,2026-03-02 07:21:03,Dead Air was reported for call: 2134094777,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.96,Ticket states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48705966,No Help Desk support needed: self-resolved,2026-03-02 11:40:13,2026-03-02 11:40:15,"omni error messages, kicked off omni automatically",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Stated as self-resolved; aligns with ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no support needed']",True,Unknown
INC48708409,No Help Desk support needed: self-resolved,2026-03-02 12:46:36,2026-03-02 12:46:39,Https status 500 error report from ELGS and had to restart letter,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,"Ticket explicitly states 'No Help Desk support needed: self-resolved', which maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48707330,No Help Desk support needed: self-resolved,2026-03-02 12:16:32,2026-03-02 12:16:34,Late login due to automatic updates,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48734649,No Help Desk support needed: self-resolved,2026-03-03 13:17:18,2026-03-03 13:17:20,"Outage Reason: Can't hear member, headset issue, restarted laptop. Timestamp: 02:00 pm Duration in Mins: 12 mins Date: March 03, 2026",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket states self-resolved and no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48733692,No Help Desk support needed: self-resolved,2026-03-03 12:49:31,2026-03-03 12:49:33,robo call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly indicates self-resolved with no help desk support required.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48728945,No Help Desk support needed: self-resolved,2026-03-03 10:36:59,2026-03-03 10:37:01,CALL GOT DISCONNECT DUE TO HARD AVAYA AND VOICE PROBLEM,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,States no Help Desk support needed and self-resolved; maps to User Self-Resolved under OperationalEvents.,"['No Help Desk support needed', 'self-resolved']",True,Unknown
INC48705075,No Help Desk support needed: self-resolved,2026-03-02 11:16:23,2026-03-02 11:16:25,"Submit ticket, conversation delay/ latency",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48717693,No Help Desk support needed: self-resolved,2026-03-02 21:19:26,2026-03-02 21:19:28,TEST TICKET,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly indicates self-resolved and no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48699126,No Help Desk support needed: self-resolved,2026-03-02 08:48:50,2026-03-02 08:48:51,vName: na Tax ID: MPIN: Phone #: OHCID: App/Tile: N/A Error message: Browser and version used:N/A ISSUE: no response from the caller RESOLUTION: did ghost call spiel  00102579691772462237,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48740414,No Help Desk support needed: self-resolved,2026-03-03 16:29:57,2026-03-03 16:29:59,"CALLS DISCONNECTED DUE TO AVAYA ISSUE, SYSTEM ERROR, CITRIX GLITCH,. RONA CALLS, MULTIPLE GHOST CALLS DUE TO VOICE ISSUE",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly says self-resolved; maps to OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48715868,No Help Desk support needed : self-resolved,2026-03-02 16:54:26,2026-03-02 16:54:28,Domino's having problems and it has a lot of breakage in and out throughout the call all day and Lindsay is respond very slow very slow of responding after typing and it takes probably like 5 to 10 seconds for it to respond,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Indicates self-resolved; support not needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48710093,No Help Desk support needed : self-resolved,2026-03-02 13:32:21,2026-03-02 13:32:23,help set up new laptop,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Self-resolved per description; matches User Self-Resolved.,[],True,Unknown
INC48725945,No Help Desk support needed: self-resolved,2026-03-03 09:21:47,2026-03-03 09:21:48,"System update, need to restart",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Clear statement that the issue was self-resolved and no help desk support is required.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48707109,No Help Desk support needed: self-resolved,2026-03-02 12:10:36,2026-03-02 12:10:39,Take medicine 11:58am to 12:11pm CST,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Marked self-resolved; fits informational operational event taxonomy.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48714347,No Help Desk support needed: self-resolved,2026-03-02 15:44:11,2026-03-02 15:44:13,Ghost call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Clear statement that the ticket was self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48704325,No Help Desk support needed : self-resolved,2026-03-02 10:56:34,2026-03-02 10:56:36,can't sign on,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,States self-resolved; maps directly to OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48731989,No Help Desk support needed : self-resolved,2026-03-03 11:57:49,2026-03-03 11:57:51,I have no sound on my computer system,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no action required by support.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48722183,No Help Desk support needed: self-resolved,2026-03-03 07:22:20,2026-03-03 07:22:22,"Unable to respond to or manage calls due to technical issues with avaya and LAN connection, which led to call drops on hold AND SOME ANI WERE NOT FOUND",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48733802,No Help Desk support needed: self-resolved,2026-03-03 12:53:11,2026-03-03 12:53:13,"5/9 had got to log out while I was on lunch, it said to reload 5/9, then it went to a blank screen for 1 min, then loaded to where I could change my lunch status to ready status.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly indicates no help desk support needed; self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48676295,(3) Aged Orders,2026-02-27 12:51:15,2026-03-03 06:33:24,"Hello- Following order need to close in IRIS:
883088595-1
884195559-1 
884693060-1",These orders are closed,,,,,,,ProcessInformational,,Informational Ticket,0.6,"""(3) Aged Orders"" lacks technical detail and appears to be an informational/triage ticket.","['Aged Orders', 'informational']",False,Unknown
INC48741560,No Help Desk support needed: self-resolved,2026-03-03 17:48:45,2026-03-03 17:48:47,I lost power/vpn from 5:35-5:45 everything is back to working now. I just need a ticket for documentation purposes,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Description explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48706784,No Help Desk support needed: self-resolved,2026-03-02 12:01:42,2026-03-02 12:01:44,"INernet issues, disconnected me while I was on break then would not stay connected in Omni. Restarted my computer seems to have fixed the issue",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Incident explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,User_Error
INC48715187,No Help Desk support needed: self-resolved,2026-03-02 16:16:40,2026-03-02 16:16:42,IRIS GLITCH,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket states self-resolved; informational only.,"['self-resolved', 'no help desk support']",True,Unknown
INC48721490,No Help Desk support needed: self-resolved,2026-03-03 06:47:55,2026-03-03 06:47:57,SYSTEM ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48710541,No Help Desk support needed: self-resolved,2026-03-02 13:44:19,2026-03-02 13:44:21,"Issue: Genesys repull/audio issue, 3 ghost call today/ Name: Acena, Yhanieka Ezel M. EID : 002263328 Time :  1:40pm-1:cst Call affected: 3/nvphi/UID 00070587691772460266,UID 00067274541772470586, UID 00068338571772479121 ITSS HC Login - Help center",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Clearly indicates 'No Help Desk support needed: self-resolved'.,[],True,Unknown
INC48739759,No Help Desk support needed: self-resolved,2026-03-03 16:02:10,2026-03-03 16:02:12,audio issue/ghost call sometimes throughout the day.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,"Description indicates no support required and self-resolved, which maps to User Self-Resolved.","['self-resolved', 'no help desk support needed']",True,Unknown
INC48722043,No Help Desk support needed: self-resolved,2026-03-03 07:16:46,2026-03-03 07:16:47,Genesys and internet issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48698883,No Help Desk support needed : self-resolved,2026-03-02 08:42:48,2026-03-02 08:42:50,I don't have Microsoft Edge automation,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly noted as self-resolved and no help desk support needed.,"['self-resolved', 'no further support']",True,Unknown
INC48695887,No Help Desk support needed: self-resolved,2026-03-02 07:15:40,2026-03-02 07:15:42,"IT downtime documentation only, i restarted lmy laptop since interqual is not working",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Description indicates the user self-resolved the issue.,['self-resolved'],True,Unknown
INC48738298,No Help Desk support needed: self-resolved,2026-03-03 15:09:37,2026-03-03 15:09:39,Laptop mandatory restarted.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket says self-resolved; classify as OperationalEvents > User Self-Resolved.,[],True,
INC48700626,No Help Desk support needed: self-resolved,2026-03-02 09:24:53,2026-03-02 09:24:55,maestro issue - bts,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; maps to User Self-Resolved in OperationalEvents.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48712505,No Help Desk support needed: self-resolved,2026-03-02 14:44:22,2026-03-02 14:44:24,"Connectivity issue, cleared cache and cookies, restarted. Resolved",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; informational only.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48709745,No Help Desk support needed: self-resolved,2026-03-02 13:22:42,2026-03-02 13:22:44,"Call lag/disconnect, called member back",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48733851,No Help Desk support needed : self-resolved,2026-03-03 12:54:33,2026-03-03 12:54:35,I have an area internet outage and is unable to work the internet provider is Comcast infinity and they have sent a text stating that there is an outage,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48741964,No Help Desk support needed: self-resolved,2026-03-03 18:31:03,2026-03-03 18:31:05,dropped call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket says no Help Desk support needed and was self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48705264,No Help Desk support needed: self-resolved,2026-03-02 11:21:41,2026-03-02 11:21:44,computer froze and citrix wont connect,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states no Help Desk support needed and self-resolved.,[],True,Unknown
INC48710885,No Help Desk support needed: self-resolved,2026-03-02 13:54:37,2026-03-02 13:54:39,internet service interruption,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Description indicates self-resolved with no HD support; fits OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48739184,No Help Desk support needed: self-resolved,2026-03-03 15:40:40,2026-03-03 15:40:41,"short call, caller disconnected the call",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states self-resolved; fits OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48700612,No Help Desk support needed: self-resolved,2026-03-02 09:24:13,2026-03-02 09:24:15,INTERNET ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48699528,No Help Desk support needed: self-resolved,2026-03-02 08:58:56,2026-03-02 08:58:58,system issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Incident explicitly states no help desk support needed and self-resolved, which maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']",True,Unknown
INC48721366,No Help Desk support needed: self-resolved,2026-03-03 06:38:28,2026-03-03 06:38:30,ticket please,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states self-resolved with no support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48726658,No Help Desk support needed : self-resolved,2026-03-03 09:36:19,2026-03-03 09:36:21,1259 login issues it was having me do that install cell phone thing on top of that Optometry log in and do security verification on that as well,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Incident explicitly states no Help Desk support needed and self-resolved; maps to ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48700419,No Help Desk support needed: self-resolved,2026-03-02 09:19:27,2026-03-02 09:19:30,Laptop Restarted,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Explicitly marked as 'No Help Desk support needed: self-resolved'.,"['self-resolved', 'no help desk']",True,Unknown
INC48709579,No Help Desk support needed: self-resolved,2026-03-02 13:18:12,2026-03-02 13:18:13,iris application is frozen cannot access pt account,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket indicates self-resolved and no help desk support needed.,"['self-resolved', 'no help desk']",True,Unknown
INC48712144,No Help Desk support needed: self-resolved,2026-03-02 14:33:08,2026-03-02 14:33:10,CONCERN/RESO:  SANDY SPOCK FROM ANDERSON PHARMACY Jared Bailey WANTED TO KNOW ABOUT THE OUTSTANDING PAYMENTS FROM OPTUM THAT THEY DIDN'T RECEIVED YET.// TOLD THE REP THAT I NEED TO TRANSFER HER OVER BUT REP SAID THAT SHE GOT TRANSFERRED 15 TIME AND WANTED TO TALK TO A SUP // UPON REACHING OUT TO A SUP THE CALL GOT DISCONNECTED ORS NUMBER: D60611532250164,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,No help desk support needed; self-resolved.,['self-resolved'],True,Unknown
INC48707686,No Help Desk support needed: self-resolved,2026-03-02 12:26:14,2026-03-02 12:26:16,"Lost vpn connection during call, computer started glitcking applications while vpn cam eback. Initiated restart",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Incident explicitly states self-resolved and no Help Desk needed.,"['self-resolved', 'no help desk support needed']",True,User_Error
INC48695390,No Help Desk support needed: self-resolved,2026-03-02 06:54:39,2026-03-02 06:54:40,genesys error while on call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Self-resolved ticket; ProcessInformational classification.,['self-resolved'],True,Unknown
INC48723790,No Help Desk support needed: self-resolved,2026-03-03 08:19:08,2026-03-03 08:19:09,Jacada not pulling up due to issue with the interenet connection,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Self-resolved incident; maps directly to User Self-Resolved within OperationalEvents.,"['self-resolved', 'No Help Desk support needed', 'informational']",True,Unknown
INC48723305,No Help Desk support needed: self-resolved,2026-03-03 08:04:16,2026-03-03 08:04:17,Citrix heavy latency affecting multiple users.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states self-resolved; no help desk action required.,[],True,
INC48729129,No Help Desk support needed : self-resolved,2026-03-03 10:41:33,2026-03-03 10:41:35,VPN issues ran fix my network and restarted,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48708782,No Help Desk support needed: self-resolved,2026-03-02 12:57:16,2026-03-02 12:57:18,AUTO REFUSED CALL,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48703020,No Help Desk support needed: self-resolved,2026-03-02 10:23:31,2026-03-02 10:23:34,laptop froze/7632743899,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Self-resolved per ticket description.,[],True,Unknown
INC48701897,No Help Desk support needed: self-resolved,2026-03-02 09:55:44,2026-03-02 09:55:47,Phone connection was poor- restarted systems,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48726917,No Help Desk support needed: self-resolved,2026-03-03 09:43:43,2026-03-03 09:43:46,Ghost Call / audio Issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Self-resolved informational event.,"['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48738538,No Help Desk support needed: self-resolved,2026-03-03 15:17:33,2026-03-03 15:17:35,omega would not open said there were more than one open and there was one open. restarted twice to get it to finally open  not,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,"Ticket indicates no support needed and self-resolved, which maps to OperationalEvents > User Self-Resolved.","['No support needed', 'self-resolved']",True,User_Error
INC48726662,No Help Desk support needed: self-resolved,2026-03-03 09:36:21,2026-03-03 09:36:24,need to submit a new ticket for documentation only for audio issues,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked self-resolved; categorized as OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48722018,No Help Desk support needed: self-resolved,2026-03-03 07:15:51,2026-03-03 07:15:53,Slow macro start up,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,"Clear self-resolved statement indicates informational resolution, best fit is User Self-Resolved.","['self-resolved', 'no help desk support']",True,Unknown
INC48736757,No Help Desk support needed: self-resolved,2026-03-03 14:20:13,2026-03-03 14:20:15,INCIDENT REPORT - GHOST CALL UCID: NA MODALITY: RTO ORS: NA,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48697601,No Help Desk support needed: self-resolved,2026-03-02 08:08:43,2026-03-02 08:08:45,System restarted,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Marked as self-resolved with no help desk support required.,"['self-resolved', 'No Help Desk support needed']",False,Unknown
INC48697369,No Help Desk support needed: self-resolved,2026-03-02 08:02:50,2026-03-02 08:02:52,"When logging in this morning my monitors would not load. I did a hard reboot of my system, and now my monitors are working.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved by the user; no assistance required.,"['self-resolved', 'no help desk support']",True,Unknown
INC48726619,No Help Desk support needed : self-resolved,2026-03-03 09:35:00,2026-03-03 09:35:02,I have an internet outage in my area in my city,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48709503,No Help Desk support needed: self-resolved,2026-03-02 13:15:50,2026-03-02 13:15:53,"dead air call, cll'd# back to further assist member. ticket please.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk needed']",True,Unknown
INC48708314,No Help Desk support needed: self-resolved,2026-03-02 12:43:25,2026-03-02 12:43:27,CONNECTION DROPPED,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states 'No Help Desk support needed: self-resolved' which maps to OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48696340,No Help Desk support needed: self-resolved,2026-03-02 07:31:17,2026-03-02 07:31:19,Issue: Surest CSR portal White screen/Loading Description: Tool is unresponsive  Start Time: 7:30 AM CST End Time: Ongoing,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket indicates no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48695754,No Help Desk support needed: self-resolved,2026-03-02 07:11:28,2026-03-02 07:11:29,"Anna Alcantara could not enter her extension into Avaya on 02/27/2026 and again today, 03/02/2026. The extension has already been logged out from her previous station/extension.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.96,Marked self-resolved with no support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48732914,No Help Desk support needed: self-resolved,2026-03-03 12:25:32,2026-03-03 12:25:34,Maestro was freezing and unable to open; causing issues with Interaction ID: I-534014421. I reopened and able to submit VG and note accordingly.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,No Help Desk support needed and self-resolved maps directly to User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48741261,No Help Desk support needed: self-resolved,2026-03-03 17:22:01,2026-03-03 17:22:03,"audio issue/can't also unmute to assist caller, tried to unmute using genesis and keyboard still didn't work/send the member back on que/upon waiting for the next representative, caller dropped call",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed; self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48735556,No Help Desk support needed: self-resolved,2026-03-03 13:44:09,2026-03-03 13:44:12,"universal trasnfer bar tool not working  1:37p 00098150111772565384 260303-00080048 46712344 universal trasnfer bar tool not working again/reset settings/cleared cache and cookies/restarted comp/submitted system issue tracker/udpated iex/emailed sup/  for today/INC44512988 TIER 2 RESP INC44512988// 07-31-253:18p - 3:35pm spoke with bryan M from tier 2 IT did work around steps, was adv via phone call and via teams (screenshot attached) that: Were currently using Genesys as well and have encountered the same intermittent issue where the Transfer Tool unexpectedly disappears. This might be part of a larger, underlying problem. We may need to wait for an official update or fix from Genesys to fully address this behavior.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Description indicates self-resolved; maps directly to User Self-Resolved.,['self-resolved'],True,Unknown
INC48742153,No Help Desk support needed: self-resolved,2026-03-03 18:56:10,2026-03-03 18:56:12,Call disconnected due to soft avaya and voice issue.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.96,"Ticket explicitly states 'No Help Desk support needed: self-resolved', which maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48728325,No Help Desk support needed: self-resolved,2026-03-03 10:21:13,2026-03-03 10:21:14,Laptop required restart for software updates.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48698236,No Help Desk support needed : self-resolved,2026-03-02 08:24:59,2026-03-02 08:25:01,I'm trying to sign in and it's not letting me,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket says 'No Help Desk support needed : self-resolved', mapping to User Self-Resolved.","['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48678775,Link Security - please assign to Link-Security – Tier2 team for CM Migration,2026-02-27 14:21:01,2026-03-03 07:58:13,Link Security - please assign to Link-Security – Tier2 team for CM Migration.  Affected user:  Sabrina Trego  tregos@somc.org  Customer name: Southern Ohio Medical Center  Please update on the back-end  in Guardian correct for  IDP username of tregos@somc.org to match OHID tregos@somc.org UUID a78378d8-51fb-4ec0-b21f-d5a615b71e27 Instead of strego5316  Support tried to but get the update synch failed error,,,,,,,,ProcessInformational,,Change/Release Management,0.7,Ticket requests assignment to Link-Security Tier2 for a CM migration activity; this aligns with change/release process rather than a technical break/fix.,"['Link Security', 'Tier2', 'CM Migration', 'assign']",False,Change_Related
INC48715059,No Help Desk support needed: self-resolved,2026-03-02 16:11:18,2026-03-02 16:11:20,"ELGS slow, spinning and lagging",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket explicitly states 'self-resolved', which maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']",True,Unknown
INC48737624,No Help Desk support needed: self-resolved,2026-03-03 14:47:59,2026-03-03 14:48:02,genesys went blank and reconnected while on call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48709381,No Help Desk support needed: self-resolved,2026-03-02 13:11:58,2026-03-02 13:12:00,disconnected call / uuid 00066256611772474731,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly marked self-resolved; informational only.,"['self-resolved', 'no help desk support']",True,Unknown
INC48702014,No Help Desk support needed: self-resolved,2026-03-02 09:58:35,2026-03-02 09:58:37,system issue/genesys,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48736522,No Help Desk support needed: self-resolved,2026-03-03 14:13:24,2026-03-03 14:13:25,laptop reboot,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket indicates no help desk support needed and self-resolved.,"['self-resolved', 'informational']",True,Unknown
INC48697460,No Help Desk support needed: self-resolved,2026-03-02 08:05:18,2026-03-02 08:05:20,"After delivering the opening spiel three times, I did not receive any response from the other line. I then proceeded with the ghost call spiel three times, but still did not hear any response. ORS/CASE#: 145329416",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
